District,Inc.,Candidates,Dem Candidate,Rep Candidate
N.H. 1,Dem.,"C. PAPPAS
K. LEAVITT",C. PAPPAS,K. LEAVITT
Va. 2,Dem.,"E. LURIA
J. KIGGANS",E. LURIA,J. KIGGANS
Calif. 13,Open,"A. GRAY
J. DUARTE",A. GRAY,J. DUARTE
Nev. 3,Dem.,"S. LEE
A. BECKER",S. LEE,A. BECKER
Ore. 4,Open,"V. HOYLE
A. SKARLATOS",V. HOYLE,A. SKARLATOS
Kan. 3,Dem.,"S. DAVIDS
A. ADKINS",S. DAVIDS,A. ADKINS
Calif. 49,Dem.,"M. LEVIN
B. MARYOTT",M. LEVIN,B. MARYOTT
Pa. 17,Open,"C. DeLUZIO
J. SHAFFER",C. DeLUZIO,J. SHAFFER
Alaska,Dem.,"M. PELTOLA
–",M. PELTOLA,–
Nev. 1,Dem.,"D. TITUS
M. ROBERTSON",D. TITUS,M. ROBERTSON
N.Y. 22,Open,"F. CONOLE
B. WILLIAMS",F. CONOLE,B. WILLIAMS
N.H. 2,Dem.,"A. KUSTER
B. BURNS",A. KUSTER,B. BURNS
Va. 7,Dem.,"A. SPANBERGER
Y. VEGA",A. SPANBERGER,Y. VEGA
Mich. 7,Dem.,"E. SLOTKIN
T. BARRETT",E. SLOTKIN,T. BARRETT
N.Y. 3,Open,"R. ZIMMERMAN
G. SANTOS",R. ZIMMERMAN,G. SANTOS
Minn. 2,Dem.,"A. CRAIG
T. KISTNER",A. CRAIG,T. KISTNER
Ill. 13,Open,"N. BUDZINSKI
R. DEERING",N. BUDZINSKI,R. DEERING
N.C. 1,Open,"DONALD DAVIS
S. SMITH",DONALD DAVIS,S. SMITH
Nev. 4,Dem.,"S. HORSFORD
S. PETERS",S. HORSFORD,S. PETERS
Ga. 2,Dem.,"S. BISHOP
C. WEST",S. BISHOP,C. WEST
Mich. 3,Open,"H. SCHOLTEN
J. GIBBS",H. SCHOLTEN,J. GIBBS
N.Y. 19,Open,"J. RILEY
M. MOLINARO",J. RILEY,M. MOLINARO
Wash. 8,Dem.,"K. SCHRIER
M. LARKIN",K. SCHRIER,M. LARKIN
Pa. 8,Dem.,"M. CARTWRIGHT
J. BOGNET",M. CARTWRIGHT,J. BOGNET
Ill. 17,Open,"E. SORENSEN
E. KING",E. SORENSEN,E. KING
Ore. 6,Open,"A. SALINAS
M. ERICKSON",A. SALINAS,M. ERICKSON
Calif. 27,Rep.,"C. SMITH
M. GARCIA",C. SMITH,M. GARCIA
Mich. 8,Dem.,"D. KILDEE
P. JUNGE",D. KILDEE,P. JUNGE
Md. 6,Dem.,"D. TRONE
N. PARROTT",D. TRONE,N. PARROTT
Ohio 9,Dem.,"M. KAPTUR
J. MAJEWSKI",M. KAPTUR,J. MAJEWSKI
Tex. 34,Rep.,"V. GONZALEZ
M. FLORES",V. GONZALEZ,M. FLORES
Ariz. 4,Dem.,"G. STANTON
K. COOPER",G. STANTON,K. COOPER
Calif. 47,Dem.,"K. PORTER
S. BAUGH",K. PORTER,S. BAUGH
Me. 2,Dem.,"J. GOLDEN
B. POLIQUIN",J. GOLDEN,B. POLIQUIN
Ill. 6,Dem.,"S. CASTEN
K. PEKAU",S. CASTEN,K. PEKAU
N.Y. 18,Dem.,"P. RYAN
C. SCHMITT",P. RYAN,C. SCHMITT
Colo. 8,Open,"Y. CARAVEO
B. KIRKMEYER",Y. CARAVEO,B. KIRKMEYER
Iowa 3,Dem.,"C. AXNE
Z. NUNN",C. AXNE,Z. NUNN
Colo. 7,Open,"B. PETTERSEN
E. AADLAND",B. PETTERSEN,E. AADLAND
Conn. 5,Dem.,"J. HAYES
G. LOGAN",J. HAYES,G. LOGAN
Ill. 11,Dem.,"B. FOSTER
C. LAUF",B. FOSTER,C. LAUF
N.M. 1,Dem.,"M. STANSBURY
M. HOLMES",M. STANSBURY,M. HOLMES
Ind. 1,Dem.,"F. MRVAN
J. GREEN",F. MRVAN,J. GREEN
N.M. 3,Dem.,"T. FERNANDEZ
A. JOHNSON",T. FERNANDEZ,A. JOHNSON
Ohio 1,Rep.,"G. LANDSMAN
S. CHABOT",G. LANDSMAN,S. CHABOT
Neb. 2,Rep.,"T. VARGAS
D. BACON",T. VARGAS,D. BACON
N.M. 2,Rep.,"G. VASQUEZ
Y. HERRELL",G. VASQUEZ,Y. HERRELL
Pa. 6,Dem.,"C. HOULAHAN
G. CIARROCCHI",C. HOULAHAN,G. CIARROCCHI
N.Y. 1,Open,"B. FLEMING
N. LALOTA",B. FLEMING,N. LALOTA
Ore. 5,Open,"J. McLEOD-SKINNER
L. DEREMER",J. McLEOD-SKINNER,L. DEREMER
Ohio 13,Open,"E. SYKES
M. GILBERT",E. SYKES,M. GILBERT
N.C. 13,Open,"W. NICKEL
B. HINES",W. NICKEL,B. HINES
Calif. 21,Dem.,"J. COSTA
M. MAHER",J. COSTA,M. MAHER
Pa. 7,Dem.,"S. WILD
L. SCHELLER",S. WILD,L. SCHELLER
R.I. 2,Open,"S. MAGAZINER
A. FUNG",S. MAGAZINER,A. FUNG
N.C. 6,Dem.,"K. MANNING
C. CASTELLI",K. MANNING,C. CASTELLI
N.Y. 17,Dem.,"S. MALONEY
M. LAWLER",S. MALONEY,M. LAWLER
N.Y. 4,Open,"L. GILLEN
A. D'ESPOSITO",L. GILLEN,A. D'ESPOSITO
Ill. 8,Dem.,"R. KRISHNAMOORTHI
C. DARGIS",R. KRISHNAMOORTHI,C. DARGIS
Tex. 28,Dem.,"H. CUELLAR
C. GARCIA",H. CUELLAR,C. GARCIA
Fla. 23,Open,"J. MOSKOWITZ
J. BUDD",J. MOSKOWITZ,J. BUDD
N.J. 7,Dem.,"T. MALINOWSKI
T. KEAN",T. MALINOWSKI,T. KEAN
Calif. 6,Dem.,"A. BERA
T. HAMILTON",A. BERA,T. HAMILTON
Calif. 45,Rep.,"J. CHEN
M. STEEL",J. CHEN,M. STEEL
Calif. 26,Dem.,"J. BROWNLEY
M. JACOBS",J. BROWNLEY,M. JACOBS
Ill. 14,Dem.,"L. UNDERWOOD
S. GRYDER",L. UNDERWOOD,S. GRYDER
N.J. 5,Dem.,"J. GOTTHEIMER
F. PALLOTTA",J. GOTTHEIMER,F. PALLOTTA
N.C. 14,Open,"J. JACKSON
P. HARRIGAN",J. JACKSON,P. HARRIGAN
Ariz. 6,Open,"K. ENGEL
J. CISCOMANI",K. ENGEL,J. CISCOMANI
Calif. 41,Rep.,"W. ROLLINS
K. CALVERT",W. ROLLINS,K. CALVERT
Calif. 9,Dem.,"J. HARDER
T. PATTI",J. HARDER,T. PATTI
N.Y. 25,Dem.,"J. MORELLE
L. SINGLETARY",J. MORELLE,L. SINGLETARY
Tex. 15,Open,"M. VALLEJO
M. CRUZ",M. VALLEJO,M. CRUZ
N.J. 3,Dem.,"A. KIM
B. HEALEY",A. KIM,B. HEALEY
Ariz. 1,Rep.,"J. HODGE
D. SCHWEIKERT",J. HODGE,D. SCHWEIKERT
Va. 10,Dem.,"J. WEXTON
H. CAO",J. WEXTON,H. CAO
Calif. 22,Rep.,"R. SALAS
D. VALADAO",R. SALAS,D. VALADAO
Mich. 10,Open,"C. MARLINGA
J. JAMES",C. MARLINGA,J. JAMES
Calif. 3,Open,"K. JONES
K. KILEY",K. JONES,K. KILEY
Fla. 9,Dem.,"D. SOTO
S. MOORE",D. SOTO,S. MOORE
Mont. 1,Open,"M. TRANEL
R. ZINKE",M. TRANEL,R. ZINKE
Wash. 10,Dem.,"M. STRICKLAND
K. SWANK",M. STRICKLAND,K. SWANK
Ill. 10,Dem.,"B. SCHNEIDER
J. SEVERINO",B. SCHNEIDER,J. SEVERINO
N.J. 11,Dem.,"M. SHERRILL
P. DEGROOT",M. SHERRILL,P. DEGROOT
Fla. 22,Dem.,"L. FRANKEL
D. FRANZESE",L. FRANKEL,D. FRANZESE
Fla. 25,Dem.,"D. WASSERMAN SCHULTZ
C. SPALDING",D. WASSERMAN SCHULTZ,C. SPALDING
Iowa 1,Rep.,"C. BOHANNAN
M. MILLER-MEEKS",C. BOHANNAN,M. MILLER-MEEKS
Mich. 11,Dem.,"H. STEVENS
M. AMBROSE",H. STEVENS,M. AMBROSE
Minn. 3,Dem.,"D. PHILLIPS
T. WEILER",D. PHILLIPS,T. WEILER
Wash. 3,Open,"M. PÉREZ
J. KENT",M. PÉREZ,J. KENT
Calif. 25,Dem.,"R. RUIZ
B. HAWKINS",R. RUIZ,B. HAWKINS
N.J. 2,Rep.,"T. ALEXANDER
J. DREW",T. ALEXANDER,J. DREW
Pa. 1,Rep.,"A. EHASZ
B. FITZPATRICK",A. EHASZ,B. FITZPATRICK
Fla. 4,Open,"L. HOLLOWAY
A. BEAN",L. HOLLOWAY,A. BEAN
Mass. 9,Dem.,"B. KEATING
J. BROWN",B. KEATING,J. BROWN
Fla. 13,Open,"E. LYNN
A. LUNA",E. LYNN,A. LUNA
Pa. 12,Open,"S. LEE
M. DOYLE",S. LEE,M. DOYLE
Calif. 33,Dem.,"P. AGUILAR
J. PORTER",P. AGUILAR,J. PORTER
Calif. 40,Rep.,"A. MAHMOOD
Y. KIM",A. MAHMOOD,Y. KIM
Wash. 6,Dem.,"D. KILMER
E. KREISELMAIER",D. KILMER,E. KREISELMAIER
Wis. 3,Open,"B. PFAFF
D. ORDEN",B. PFAFF,D. ORDEN
Fla. 14,Dem.,"K. CASTOR
J. JUDGE",K. CASTOR,J. JUDGE
N.J. 1,Dem.,"D. NORCROSS
C. GUSTAFSON",D. NORCROSS,C. GUSTAFSON
N.Y. 2,Rep.,"J. GORDON
A. GARBARINO",J. GORDON,A. GARBARINO
