"Results of United States Senate elections, 2022",,,,
State,Incumbent,Winner,Partisan change,Incumbent status
Alabama,Republican Party Richard Shelby,Republican Party Katie Britt,No,Incumbent didn't seek re-election
Alaska,Republican Party Lisa Murkowski,Republican Party Lisa Murkowski,No,Won
Arizona,Democratic Party Mark Kelly,Democratic PartyMark Kelly,No,Won
Arkansas,Republican Party John Boozman,Republican Party John Boozman,No,Won
California,Democratic Party Alex Padilla,Democratic Party Alex Padilla,No,Won
Colorado,Democratic Party Michael Bennet,Democratic Party Michael Bennet,No,Won
Connecticut,Democratic Party Richard Blumenthal,Democratic Party Richard Blumenthal,No,Won
Florida,Republican Party Marco Rubio,Republican Party Marco Rubio,No,Won
Georgia,Democratic Party Raphael Warnock,Democratic Party Raphael Warnock,No,Won
Hawaii,Democratic Party Brian Schatz,Democratic Party Brian Schatz,No,Won
Idaho,Republican Party Mike Crapo,Republican Party Mike Crapo,No,Won
Illinois,Democratic Party Tammy Duckworth,Democratic Party Tammy Duckworth,No,Won
Indiana,Republican Party Todd Young,Republican Party Todd Young,No,Won
Iowa,Republican Party Chuck Grassley,Republican Party Chuck Grassley,No,Won
Kansas,Republican Party Jerry Moran,Republican Party Jerry Moran,No,Won
Kentucky,Republican Party Rand Paul,Republican Party Rand Paul,No,Won
Louisiana,Republican Party John Neely Kennedy,Republican Party John Neely Kennedy,No,Won
Maryland,Democratic Party Chris Van Hollen,Democratic Party Chris Van Hollen,No,Won
Missouri,Republican Party Roy Blunt,Republican Party Eric Schmitt,No,Incumbent didn't seek re-election
Nevada,Democratic Party Catherine Cortez Masto,Democratic Party Catherine Cortez Masto,No,Won
New Hampshire,Democratic Party Maggie Hassan,Democratic Party Maggie Hassan,No,Won
New York,Democratic Party Chuck Schumer,Democratic Party Chuck Schumer,No,Won
North Carolina,Republican Party Richard Burr,Republican Party Ted Budd,No,Incumbent didn't seek re-election
North Dakota,Republican Party John Hoeven,Republican Party John Hoeven,No,Won
Ohio,Republican Party Rob Portman,Republican Party J.D. Vance,No,Incumbent didn't seek re-election
Oklahoma (regular),Republican Party James Lankford,Republican Party James Lankford,No,Won
Oklahoma (special),Republican Party James Inhofe,Republican Party Markwayne Mullin,No,Incumbent announced his resignation
before the end of his term,,,,
Oregon,Democratic Party Ron Wyden,Democratic Party Ron Wyden,No,Won
Pennsylvania,Republican Party Pat Toomey,Democratic Party John Fetterman,Yes,Incumbent didn't seek re-election
South Carolina,Republican Party Tim Scott,Republican Party Tim Scott,No,Won
South Dakota,Republican Party John Thune,Republican Party John Thune,No,Won
Utah,Republican Party Mike Lee,Republican Party Mike Lee,No,Won
Vermont,Democratic Party Patrick Leahy,Democratic Party Peter Welch,No,Incumbent didn't seek re-election
Washington,Democratic Party Patty Murray,Democratic Party Patty Murray,No,Won
Wisconsin,Republican Party Ron Johnson,Republican Party Ron Johnson,No,Won
