district_id,cook_pvi,cook_pvi_string,incumbent,incumbent_party,is_open,cook_rating,source_url
AK-01,-6.0,R+6,Nick Begich,R,False,Likely R,https://www.cookpolitical.com/races
AL-01,-17.0,R+17,OPEN,,True,Solid R,https://www.cookpolitical.com/races
AL-02,-7.0,R+7,Shomari Figures,D,False,Likely R,https://www.cookpolitical.com/races
AL-03,-23.0,R+23,Mike Rogers,R,False,Solid R,https://www.cookpolitical.com/races
AL-04,-33.0,R+33,Robert Aderholt,R,False,Solid R,https://www.cookpolitical.com/races
AL-05,-15.0,R+15,Dale Strong,R,False,Solid R,https://www.cookpolitical.com/races
AL-06,-17.0,R+17,Gary Palmer,R,False,Solid R,https://www.cookpolitical.com/races
AL-07,10.0,D+10,Terri Sewell,D,False,Solid D,https://www.cookpolitical.com/races
AR-01,-23.0,R+23,Rick Crawford,R,False,Solid R,https://www.cookpolitical.com/races
AR-02,-8.0,R+8,French Hill,R,False,Solid R,https://www.cookpolitical.com/races
AR-03,-13.0,R+13,Steve Womack,R,False,Solid R,https://www.cookpolitical.com/races
AR-04,-20.0,R+20,Bruce Westerman,R,False,Solid R,https://www.cookpolitical.com/races
AZ-01,-1.0,R+1,OPEN,,True,Toss Up,https://www.cookpolitical.com/races
AZ-02,-7.0,R+7,Eli Crane,R,False,Likely R,https://www.cookpolitical.com/races
AZ-03,22.0,D+22,Yassamin Ansari,D,False,Solid D,https://www.cookpolitical.com/races
AZ-04,4.0,D+4,Greg Stanton,D,False,Solid D,https://www.cookpolitical.com/races
AZ-05,-10.0,R+10,OPEN,,True,Solid R,https://www.cookpolitical.com/races
AZ-06,-0.0,EVEN,Juan Ciscomani,R,False,Toss Up,https://www.cookpolitical.com/races
AZ-07,13.0,D+13,Adelita Grijalva,D,False,Solid D,https://www.cookpolitical.com/races
AZ-08,-8.0,R+8,Abe Hamadeh,R,False,Solid R,https://www.cookpolitical.com/races
AZ-09,-15.0,R+15,Paul Gosar,R,False,Solid R,https://www.cookpolitical.com/races
CA-01,7.0,D+7,James Gallagher,R,False,Solid D,https://www.cookpolitical.com/races
CA-02,13.0,D+13,Jared Huffman,D,False,Solid D,https://www.cookpolitical.com/races
CA-03,6.0,D+6,Ami Bera,D,False,Solid D,https://www.cookpolitical.com/races
CA-04,8.0,D+8,Mike Thompson,D,False,Solid D,https://www.cookpolitical.com/races
CA-05,-10.0,R+10,Tom McClintock,R,False,Solid R,https://www.cookpolitical.com/races
CA-06,5.0,D+5,Kevin Kiley,I,False,Solid D,https://www.cookpolitical.com/races
CA-07,7.0,D+7,Doris Matsui,D,False,Solid D,https://www.cookpolitical.com/races
CA-08,19.0,D+19,John Garamendi,D,False,Solid D,https://www.cookpolitical.com/races
CA-09,8.0,D+8,Josh Harder,D,False,Solid D,https://www.cookpolitical.com/races
CA-10,18.0,D+18,Mark DeSaulnier,D,False,Solid D,https://www.cookpolitical.com/races
CA-11,36.0,D+36,OPEN,,True,Solid D,https://www.cookpolitical.com/races
CA-12,39.0,D+39,Lateefah Simon,D,False,Solid D,https://www.cookpolitical.com/races
CA-13,2.0,D+2,Adam Gray,D,False,Lean D,https://www.cookpolitical.com/races
CA-14,19.0,D+19,VACANT,,True,Solid D,https://www.cookpolitical.com/races
CA-15,26.0,D+26,Kevin Mullin,D,False,Solid D,https://www.cookpolitical.com/races
CA-16,25.0,D+25,Sam Liccardo,D,False,Solid D,https://www.cookpolitical.com/races
CA-17,21.0,D+21,Ro Khanna,D,False,Solid D,https://www.cookpolitical.com/races
CA-18,16.0,D+16,Zoe Lofgren,D,False,Solid D,https://www.cookpolitical.com/races
CA-19,18.0,D+18,Jimmy Panetta,D,False,Solid D,https://www.cookpolitical.com/races
CA-20,-16.0,R+16,Vince Fong,R,False,Solid R,https://www.cookpolitical.com/races
CA-21,5.0,D+5,Jim Costa,D,False,Likely D,https://www.cookpolitical.com/races
CA-22,1.0,D+1,David Valadao,R,False,Toss Up,https://www.cookpolitical.com/races
CA-23,-9.0,R+9,Jay Obernolte,R,False,Solid R,https://www.cookpolitical.com/races
CA-24,13.0,D+13,Salud Carbajal,D,False,Solid D,https://www.cookpolitical.com/races
CA-25,4.0,D+4,Raul Ruiz,D,False,Solid D,https://www.cookpolitical.com/races
CA-26,9.0,D+9,OPEN,,True,Solid D,https://www.cookpolitical.com/races
CA-27,6.0,D+6,George T. Whitesides,D,False,Solid D,https://www.cookpolitical.com/races
CA-28,14.0,D+14,Judy Chu,D,False,Solid D,https://www.cookpolitical.com/races
CA-29,19.0,D+19,Luz Rivas,D,False,Solid D,https://www.cookpolitical.com/races
CA-30,21.0,D+21,Laura Friedman,D,False,Solid D,https://www.cookpolitical.com/races
CA-31,8.0,D+8,Gil Cisneros,D,False,Solid D,https://www.cookpolitical.com/races
CA-32,14.0,D+14,Brad Sherman,D,False,Solid D,https://www.cookpolitical.com/races
CA-33,7.0,D+7,Pete Aguilar,D,False,Solid D,https://www.cookpolitical.com/races
CA-34,28.0,D+28,Jimmy Gomez,D,False,Solid D,https://www.cookpolitical.com/races
CA-35,6.0,D+6,Norma Torres,D,False,Solid D,https://www.cookpolitical.com/races
CA-36,21.0,D+21,Ted Lieu,D,False,Solid D,https://www.cookpolitical.com/races
CA-37,33.0,D+33,Sydney Kamlager-Dove,D,False,Solid D,https://www.cookpolitical.com/races
CA-38,8.0,D+8,OPEN,,True,Solid D,https://www.cookpolitical.com/races
CA-39,7.0,D+7,Mark Takano,D,False,Solid D,https://www.cookpolitical.com/races
CA-40,-6.0,R+6,MERGED SEAT,,False,Solid R,https://www.cookpolitical.com/races
CA-41,9.0,D+9,Linda Sánchez,D,False,Solid D,https://www.cookpolitical.com/races
CA-42,8.0,D+8,Robert Garcia,D,False,Solid D,https://www.cookpolitical.com/races
CA-43,27.0,D+27,Maxine Waters,D,False,Solid D,https://www.cookpolitical.com/races
CA-44,20.0,D+20,Nanette Barragan,D,False,Solid D,https://www.cookpolitical.com/races
CA-45,3.0,D+3,Derek Tran,D,False,Likely D,https://www.cookpolitical.com/races
CA-46,10.0,D+10,Lou Correa,D,False,Solid D,https://www.cookpolitical.com/races
CA-47,6.0,D+6,Dave Min,D,False,Solid D,https://www.cookpolitical.com/races
CA-48,2.0,D+2,OPEN,,True,Lean D,https://www.cookpolitical.com/races
CA-49,7.0,D+7,Mike Levin,D,False,Solid D,https://www.cookpolitical.com/races
CA-50,10.0,D+10,Scott Peters,D,False,Solid D,https://www.cookpolitical.com/races
CA-51,10.0,D+10,Sara Jacobs,D,False,Solid D,https://www.cookpolitical.com/races
CA-52,11.0,D+11,Juan Vargas,D,False,Solid D,https://www.cookpolitical.com/races
CO-01,29.0,D+29,OPEN,,True,Solid D,https://www.cookpolitical.com/races
