district_id,cook_rating,cook_pvi,incumbent,incumbent_party,is_open
AK-01,Likely R,-7.0,Begich III,R,False
AL-01,Solid R,-12.0,OPEN (Moore),R,True
AL-02,Solid D,12.0,Figures,D,False
AL-03,Solid R,-12.0,Rogers,R,False
AL-04,Solid R,-12.0,Aderholt,R,False
AL-05,Solid R,-12.0,Strong,R,False
AL-06,Solid R,-12.0,Palmer,R,False
AL-07,Solid D,12.0,Sewell,D,False
AR-01,Solid R,-12.0,Crawford,R,False
AR-02,Solid R,-12.0,Hill,R,False
AR-03,Solid R,-12.0,Womack,R,False
AR-04,Solid R,-12.0,Westerman,R,False
AZ-01,Toss-up,0.0,OPEN (Schweikert),R,True
AZ-02,Likely R,-7.0,Crane,R,False
AZ-03,Solid D,12.0,Ansari,D,False
AZ-04,Solid D,12.0,Stanton,D,False
AZ-05,Solid R,-12.0,OPEN (Biggs),R,True
AZ-06,Toss-up,0.0,Ciscomani,R,False
AZ-07,Solid D,12.0,Grijalva,D,False
AZ-08,Solid R,-12.0,Hamadeh,R,False
AZ-09,Solid R,-12.0,Gosar,R,False
CA-01,Solid D,12.0,VACANT,R,True
CA-02,Solid D,12.0,Huffman,D,False
CA-03,Solid D,12.0,Kiley,R,False
CA-04,Solid D,12.0,Thompson,D,False
CA-05,Solid R,-12.0,McClintock,R,False
CA-06,Solid D,12.0,OPEN (Bera),D,True
CA-07,Solid D,12.0,Matsui,D,False
CA-08,Solid D,12.0,Garamendi,D,False
CA-09,Solid D,12.0,Harder,D,False
CA-10,Solid D,12.0,DeSaulnier,D,False
CA-11,Solid D,12.0,OPEN (Pelosi),D,True
CA-12,Solid D,12.0,Simon,D,False
CA-13,Lean D,3.0,Gray,D,False
CA-14,Solid D,12.0,OPEN (Swalwell),D,True
CA-15,Solid D,12.0,Mullin,D,False
CA-16,Solid D,12.0,Liccardo,D,False
CA-17,Solid D,12.0,Khanna,D,False
CA-18,Solid D,12.0,Lofgren,D,False
CA-19,Solid D,12.0,Panetta,D,False
CA-20,Solid R,-12.0,Fong,R,False
CA-21,Likely D,7.0,Costa,D,False
CA-22,Toss-up,0.0,Valadao,R,False
CA-23,Solid R,-12.0,Obernolte,R,False
CA-24,Solid D,12.0,Carbajal,D,False
CA-25,Solid D,12.0,Ruiz,D,False
CA-26,Solid D,12.0,OPEN (Brownley),D,True
CA-27,Solid D,12.0,Whitesides,D,False
CA-28,Solid D,12.0,Chu,D,False
CA-29,Solid D,12.0,Rivas,D,False
CA-30,Solid D,12.0,Friedman,D,False
CA-31,Solid D,12.0,Cisneros,D,False
CA-32,Solid D,12.0,Sherman,D,False
CA-33,Solid D,12.0,Aguilar,D,False
CA-34,Solid D,12.0,Gomez,D,False
CA-35,Solid D,12.0,Torres,D,False
