district_id,incumbent_party,incumbency_code,year
AK-01,R,-1,2018
AL-01,R,-1,2018
AL-02,R,-1,2018
AL-03,R,-1,2018
AL-04,R,-1,2018
AL-05,R,-1,2018
AL-06,R,-1,2018
AL-07,D,1,2018
AR-01,R,-1,2018
AR-02,R,-1,2018
AR-03,R,-1,2018
AR-04,R,-1,2018
AZ-01,D,1,2018
AZ-02,Open,0,2018
AZ-03,D,1,2018
AZ-04,R,-1,2018
AZ-05,R,-1,2018
AZ-06,R,-1,2018
AZ-07,D,1,2018
AZ-08,Open,0,2018
AZ-09,Open,0,2018
CA-01,R,-1,2018
CA-02,D,1,2018
CA-03,D,1,2018
CA-04,R,-1,2018
CA-05,D,1,2018
CA-06,D,1,2018
CA-07,D,1,2018
CA-08,R,-1,2018
CA-09,D,1,2018
CA-10,R,-1,2018
CA-11,D,1,2018
CA-12,D,1,2018
CA-13,D,1,2018
CA-14,D,1,2018
CA-15,D,1,2018
CA-16,D,1,2018
CA-17,D,1,2018
CA-18,D,1,2018
CA-19,D,1,2018
CA-20,D,1,2018
CA-21,R,-1,2018
CA-22,R,-1,2018
CA-23,R,-1,2018
CA-24,D,1,2018
CA-25,R,-1,2018
CA-26,D,1,2018
CA-27,D,1,2018
CA-28,D,1,2018
CA-29,D,1,2018
CA-30,D,1,2018
CA-31,D,1,2018
CA-32,D,1,2018
CA-33,D,1,2018
CA-34,Open,0,2018
CA-35,D,1,2018
CA-36,D,1,2018
CA-37,D,1,2018
CA-38,D,1,2018
CA-39,Open,0,2018
CA-40,D,1,2018
CA-41,D,1,2018
CA-42,R,-1,2018
CA-43,D,1,2018
CA-44,D,1,2018
CA-45,R,-1,2018
CA-46,D,1,2018
CA-47,D,1,2018
CA-48,R,-1,2018
CA-49,Open,0,2018
CA-50,R,-1,2018
CA-51,D,1,2018
CA-52,D,1,2018
CA-53,D,1,2018
CO-01,D,1,2018
CO-02,Open,0,2018
CO-03,R,-1,2018
CO-04,R,-1,2018
CO-05,R,-1,2018
CO-06,R,-1,2018
CO-07,D,1,2018
CT-01,D,1,2018
CT-02,D,1,2018
CT-03,D,1,2018
CT-04,D,1,2018
CT-05,Open,0,2018
DE-01,D,1,2018
FL-01,R,-1,2018
FL-02,R,-1,2018
FL-03,R,-1,2018
FL-04,R,-1,2018
FL-05,D,1,2018
FL-06,Open,0,2018
FL-07,D,1,2018
FL-08,R,-1,2018
FL-09,D,1,2018
FL-10,D,1,2018
FL-11,R,-1,2018
FL-12,R,-1,2018
FL-13,D,1,2018
