district_id_raw,partisan_lean_538,district_id,pvi_string,pvi_numeric
AK-1,-14.6111,AK-01,R+14.6,-14.61
AL-1,-31.6703,AL-01,R+31.7,-31.67
AL-2,-33.47084,AL-02,R+33.5,-33.47
AL-3,-39.00137,AL-03,R+39.0,-39.0
AL-4,-64.80537,AL-04,R+64.8,-64.81
AL-5,-32.03314,AL-05,R+32.0,-32.03
AL-6,-35.87194,AL-06,R+35.9,-35.87
AL-7,28.7539,AL-07,D+28.8,28.75
AR-1,-43.32125,AR-01,R+43.3,-43.32
AR-2,-16.87272,AR-02,R+16.9,-16.87
AR-3,-28.57066,AR-03,R+28.6,-28.57
AR-4,-38.83622,AR-04,R+38.8,-38.84
AZ-1,-6.512875,AZ-01,R+6.5,-6.51
AZ-2,-15.10014,AZ-02,R+15.1,-15.1
AZ-3,44.18386,AZ-03,D+44.2,44.18
AZ-4,1.464125,AZ-04,D+1.5,1.46
AZ-5,-23.90548,AZ-05,R+23.9,-23.91
AZ-6,-6.932475,AZ-06,R+6.9,-6.93
AZ-7,27.01756,AZ-07,D+27.0,27.02
AZ-8,-21.53168,AZ-08,R+21.5,-21.53
AZ-9,-33.10751,AZ-09,R+33.1,-33.11
CA-1,-24.24,CA-01,R+24.2,-24.24
CA-2,44.6589,CA-02,D+44.7,44.66
CA-3,-7.48173,CA-03,R+7.5,-7.48
CA-4,31.46477,CA-04,D+31.5,31.46
CA-5,-16.82833,CA-05,R+16.8,-16.83
CA-6,14.1761,CA-06,D+14.2,14.18
CA-7,33.91067,CA-07,D+33.9,33.91
CA-8,50.61904,CA-08,D+50.6,50.62
CA-9,8.710836,CA-09,D+8.7,8.71
CA-10,34.2542,CA-10,D+34.3,34.25
CA-11,71.46574,CA-11,D+71.5,71.47
CA-12,76.76467,CA-12,D+76.8,76.76
CA-13,7.451671,CA-13,D+7.5,7.45
CA-14,41.99284,CA-14,D+42.0,41.99
CA-15,54.17324,CA-15,D+54.2,54.17
CA-16,49.6167,CA-16,D+49.6,49.62
CA-17,45.6632,CA-17,D+45.7,45.66
CA-18,41.7609,CA-18,D+41.8,41.76
CA-19,35.66684,CA-19,D+35.7,35.67
CA-20,-30.45263,CA-20,R+30.5,-30.45
CA-21,16.22807,CA-21,D+16.2,16.23
CA-22,10.3146,CA-22,D+10.3,10.31
CA-23,-15.2223,CA-23,R+15.2,-15.22
CA-24,23.94737,CA-24,D+23.9,23.95
