District,PVI,"Party of
representative"
Alabama 1,R+27,Republican
Alabama 2,D+5,Democratic
Alabama 3,R+23,Republican
Alabama 4,R+33,Republican
Alabama 5,R+15,Republican
Alabama 6,R+20,Republican
Alabama 7,D+13,Democratic
Alaska at-large,R+6,Republican
Arizona 1,R+1,Republican
Arizona 2,R+7,Republican
Arizona 3,D+22,Democratic
Arizona 4,D+4,Democratic
Arizona 5,R+10,Republican
Arizona 6,EVEN,Republican
Arizona 7,D+13,Democratic
Arizona 8,R+8,Republican
Arizona 9,R+15,Republican
Arkansas 1,R+23,Republican
Arkansas 2,R+8,Republican
Arkansas 3,R+13,Republican
Arkansas 4,R+20,Republican
California 1,R+12,Republican
California 2,D+24,Democratic
California 3,R+2,Republican
California 4,D+17,Democratic
California 5,R+8,Republican
California 6,D+8,Democratic
California 7,D+16,Democratic
California 8,D+24,Democratic
California 9,D+1,Democratic
California 10,D+18,Democratic
California 11,D+36,Democratic
California 12,D+39,Democratic
California 13,R+1,Democratic
California 14,D+20,Democratic
California 15,D+26,Democratic
California 16,D+26,Democratic
California 17,D+21,Democratic
California 18,D+17,Democratic
California 19,D+18,Democratic
California 20,R+15,Republican
California 21,D+4,Democratic
California 22,R+1,Republican
California 23,R+8,Republican
California 24,D+13,Democratic
California 25,D+3,Democratic
California 26,D+8,Democratic
California 27,D+3,Democratic
California 28,D+15,Democratic
California 29,D+20,Democratic
California 30,D+22,Democratic
California 31,D+10,Democratic
California 32,D+17,Democratic
California 33,D+7,Democratic
California 34,D+28,Democratic
California 35,D+8,Democratic
California 36,D+21,Democratic
California 37,D+33,Democratic
California 38,D+10,Democratic
California 39,D+7,Democratic
California 40,R+1,Republican
California 41,R+2,Republican
California 42,D+18,Democratic
California 43,D+27,Democratic
California 44,D+19,Democratic
California 45,D+1,Democratic
California 46,D+11,Democratic
California 47,D+3,Democratic
California 48,R+7,Republican
California 49,D+4,Democratic
California 50,D+16,Democratic
California 51,D+13,Democratic
California 52,D+13,Democratic
Colorado 1,D+29,Democratic
Colorado 2,D+20,Democratic
Colorado 3,R+5,Republican
Colorado 4,R+9,Republican
Colorado 5,R+5,Republican
Colorado 6,D+11,Democratic
Colorado 7,D+8,Democratic
Colorado 8,EVEN,Republican
Connecticut 1,D+12,Democratic
Connecticut 2,D+4,Democratic
