State,PVI,"Last presidential
election winner","Party
in Senate"
Alabama,R+15,Republican,Republican
Alaska,R+6,Republican,Republican
Arizona,R+2,Republican,Democratic
Arkansas,R+15,Republican,Republican
California,D+12,Democratic,Democratic
Colorado,D+6,Democratic,Democratic
Connecticut,D+8,Democratic,Democratic
Delaware,D+8,Democratic,Democratic
Florida,R+5,Republican,Republican
Georgia,R+1,Republican,Democratic
Hawaii,D+13,Democratic,Democratic
Idaho,R+18,Republican,Republican
Illinois,D+6,Democratic,Democratic
Indiana,R+9,Republican,Republican
Iowa,R+6,Republican,Republican
Kansas,R+8,Republican,Republican
Kentucky,R+15,Republican,Republican
Louisiana,R+11,Republican,Republican
Maine,D+4,Democratic,Both[nb 1]
Maryland,D+15,Democratic,Democratic
Massachusetts,D+14,Democratic,Democratic
Michigan,EVEN,Republican,Democratic
Minnesota,D+3,Democratic,Democratic
Mississippi,R+11,Republican,Republican
Missouri,R+9,Republican,Republican
Montana,R+10,Republican,Republican
Nebraska,R+10,Republican,Republican
Nevada,R+1,Republican,Democratic
New Hampshire,D+2,Democratic,Democratic
New Jersey,D+4,Democratic,Democratic
New Mexico,D+4,Democratic,Democratic
New York,D+8,Democratic,Democratic
North Carolina,R+1,Republican,Republican
North Dakota,R+18,Republican,Republican
Ohio,R+5,Republican,Republican
Oklahoma,R+17,Republican,Republican
Oregon,D+8,Democratic,Democratic
Pennsylvania,R+1,Republican,Both
Rhode Island,D+8,Democratic,Democratic
South Carolina,R+8,Republican,Republican
South Dakota,R+15,Republican,Republican
Tennessee,R+14,Republican,Republican
Texas,R+6,Republican,Republican
Utah,R+11,Republican,Republican
Vermont,D+17,Democratic,Democratic[nb 2]
Virginia,D+3,Democratic,Democratic
Washington,D+10,Democratic,Democratic
"Washington, D.C.",D+44,Democratic,N/A
West Virginia,R+21,Republican,Republican
Wisconsin,EVEN,Republican,Both
Wyoming,R+23,Republican,Republican
