date,prob_dem_majority,median_dem_seats,mean_dem_seats,ci_90_low,ci_90_high,election_day_national_margin,published_generic_ballot,national_likelihood,model_version,schema_version,forecast_epoch
2026-08-12,0.8614,245,250.35,206,313,5.67,8.11,6.5,5.0.0,5.0.0,2026-08-12
2026-08-14,0.8683,246,250.88,207,314,5.72,8.06,6.56,5.0.0,5.0.0,2026-08-12
2026-08-15,0.8683,246,250.9,207,314,5.72,8.07,6.56,5.0.0,5.0.0,2026-08-12
2026-08-16,0.8682,246,250.83,206,314,5.71,8.07,6.55,5.0.0,5.0.0,2026-08-12
2026-08-17,0.8681,245,250.7,206,314,5.71,7.92,6.55,5.0.0,5.0.0,2026-08-12
2026-08-18,0.8686,246,250.79,207,314,5.73,7.92,6.57,5.0.0,5.0.0,2026-08-12
2026-08-19,0.8676,245,250.5,206,314,5.68,7.89,6.5,5.0.0,5.0.0,2026-08-12
2026-08-20,0.8665,245,250.35,206,314,5.68,7.61,6.51,5.0.0,5.0.0,2026-08-12
2026-08-21,0.8665,245,250.37,206,314,5.69,7.6,6.51,5.0.0,5.0.0,2026-08-12
2026-08-22,0.8665,245,250.39,206,314,5.69,7.6,6.52,5.0.0,5.0.0,2026-08-12
2026-08-23,0.8666,245,250.4,206,314,5.69,7.6,6.52,5.0.0,5.0.0,2026-08-12
2026-08-24,0.8663,245,250.28,206,314,5.67,7.61,6.49,5.0.0,5.0.0,2026-08-12
2026-08-25,0.8666,245,250.32,206,314,5.68,7.66,6.5,5.0.0,5.0.0,2026-08-12
2026-08-27,0.8682,245,250.59,206,314,5.68,7.61,6.5,5.0.0,5.0.0,2026-08-12
2026-08-28,0.8709,246,250.98,207,314,5.74,7.73,6.58,5.0.0,5.0.0,2026-08-12
2026-08-29,0.8696,246,250.89,207,314,5.72,7.73,6.58,5.0.0,5.0.0,2026-08-12
2026-08-30,0.87,246,250.92,207,314,5.72,7.73,6.59,5.0.0,5.0.0,2026-08-12
2026-08-31,0.8656,245,250.52,206,314,5.72,7.73,6.61,5.0.0,5.0.0,2026-08-12
2026-09-01,0.8664,245,250.65,206,314,5.73,7.81,6.62,5.0.0,5.0.0,2026-08-12
2026-09-02,0.8666,245,250.68,207,314,5.73,7.81,6.63,5.0.0,5.0.0,2026-08-12
2026-09-03,0.8608,245,249.89,206,313,5.61,7.44,6.48,5.0.0,5.0.0,2026-08-12
2026-09-04,0.8623,245,250.06,206,313,5.64,7.44,6.52,5.0.0,5.0.0,2026-08-12
