date,prob_dem_control,median_dem_seats,mean_dem_seats,ci_90_low,ci_90_high,election_day_national_margin,published_generic_ballot,national_likelihood,model_version,schema_version,forecast_epoch
2026-08-12,0.5989,51,51.32,47,56,6.54,8.11,8.11,5.0.0,5.0.0,2026-08-12
2026-08-14,0.5861,51,51.23,47,56,6.51,8.06,8.06,5.0.0,5.0.0,2026-08-12
2026-08-15,0.5997,51,51.3,47,56,6.51,8.07,8.07,5.0.0,5.0.0,2026-08-12
2026-08-16,0.5997,51,51.3,47,56,6.51,8.07,8.07,5.0.0,5.0.0,2026-08-12
2026-08-17,0.5898,51,51.23,47,56,6.42,7.92,7.92,5.0.0,5.0.0,2026-08-12
2026-08-18,0.6203,51,51.43,47,56,6.42,7.92,7.92,5.0.0,5.0.0,2026-08-12
2026-08-19,0.6387,51,51.49,47,56,6.4,7.89,7.89,5.0.0,5.0.0,2026-08-12
2026-08-20,0.6222,51,51.38,47,56,6.21,7.61,7.61,5.0.0,5.0.0,2026-08-12
2026-08-21,0.623,51,51.38,47,56,6.2,7.6,7.6,5.0.0,5.0.0,2026-08-12
2026-08-22,0.6231,51,51.38,47,56,6.2,7.6,7.6,5.0.0,5.0.0,2026-08-12
2026-08-23,0.6231,51,51.38,47,56,6.2,7.6,7.6,5.0.0,5.0.0,2026-08-12
2026-08-24,0.6235,51,51.38,47,56,6.21,7.61,7.61,5.0.0,5.0.0,2026-08-12
2026-08-25,0.628,51,51.42,47,56,6.24,7.66,7.66,5.0.0,5.0.0,2026-08-12
2026-08-27,0.6106,51,51.3,47,56,6.21,7.61,7.61,5.0.0,5.0.0,2026-08-12
2026-08-28,0.6054,51,51.29,47,56,6.29,7.73,7.73,5.0.0,5.0.0,2026-08-12
2026-08-29,0.603,51,51.28,47,56,6.25,7.73,7.73,5.0.0,5.0.0,2026-08-12
2026-08-30,0.6027,51,51.28,47,56,6.25,7.73,7.73,5.0.0,5.0.0,2026-08-12
2026-08-31,0.635,51,51.46,47,56,6.22,7.73,7.73,5.0.0,5.0.0,2026-08-12
2026-09-01,0.644,51,51.51,47,56,6.27,7.81,7.81,5.0.0,5.0.0,2026-08-12
2026-09-02,0.6444,51,51.51,47,56,6.27,7.81,7.81,5.0.0,5.0.0,2026-08-12
2026-09-03,0.6004,51,51.23,47,56,6.03,7.44,7.44,5.0.0,5.0.0,2026-08-12
2026-09-04,0.5997,51,51.23,47,56,6.02,7.44,7.44,5.0.0,5.0.0,2026-08-12
2026-09-05,0.5992,51,51.22,47,56,6.02,7.43,7.43,5.0.0,5.0.0,2026-08-12
2026-09-06,0.5992,51,51.22,47,56,6.02,7.43,7.43,5.0.0,5.0.0,2026-08-12
2026-09-07,0.5992,51,51.22,47,56,6.02,7.43,7.43,5.0.0,5.0.0,2026-08-12
2026-09-08,0.5962,51,51.2,47,56,5.98,7.38,7.38,5.0.0,5.0.0,2026-08-12
2026-09-09,0.6196,51,51.36,47,56,6.13,7.59,7.59,5.0.0,5.0.0,2026-08-12
2026-09-10,0.6231,51,51.37,47,56,6.13,7.59,7.59,5.0.0,5.0.0,2026-08-12
2026-09-11,0.6667,52,51.64,48,56,6.48,8.13,8.13,5.0.0,5.0.0,2026-08-12
2026-09-12,0.6698,52,51.66,48,56,6.49,8.15,8.15,5.0.0,5.0.0,2026-08-12
2026-09-13,0.6712,52,51.67,48,56,6.5,8.17,8.17,5.0.0,5.0.0,2026-08-12
2026-09-14,0.6901,52,51.79,48,56,6.42,8.04,8.04,5.0.0,5.0.0,2026-08-12
2026-09-15,0.6939,52,51.81,48,56,6.5,8.17,8.17,5.0.0,5.0.0,2026-08-12
2026-09-16,0.7026,52,51.9,48,56,6.78,8.61,8.61,5.0.0,5.0.0,2026-08-12
2026-09-17,0.6911,52,51.84,48,56,6.78,8.61,8.61,5.0.0,5.0.0,2026-08-12
2026-09-18,0.7016,52,51.93,48,56,6.74,8.55,8.55,5.0.0,5.0.0,2026-08-12
2026-09-19,0.7072,52,51.97,48,56,6.75,8.57,8.57,5.0.0,5.0.0,2026-08-12
2026-09-20,0.7078,52,51.97,48,56,6.76,8.58,8.58,5.0.0,5.0.0,2026-08-12
2026-09-21,0.7024,52,51.91,48,56,6.66,8.42,8.42,5.0.0,5.0.0,2026-08-12
2026-09-22,0.7315,52,52.11,48,57,6.86,8.75,8.75,5.0.0,5.0.0,2026-08-12
2026-09-23,0.7449,52,52.22,48,57,6.97,8.93,8.93,5.0.0,5.0.0,2026-08-12
2026-09-24,0.7464,52,52.25,48,57,7.09,9.13,9.13,5.0.0,5.0.0,2026-08-12
2026-09-25,0.7395,52,52.18,48,57,7.04,9.13,9.13,5.0.0,5.0.0,2026-08-12
